id,age,relative_hp_dist,value,norm,,,id,overall mean
14,adult,high_prob,857.9946876,0.993851321,,,14,863.30286
14,adult,absent,774.7964872,0.897479347,,,15,944.9857421
14,adult,low_prob,957.1174052,1.108669332,,,16,1176.987845
15,adult,high_prob,982.3087573,1.03949585,,,18,921.0235207
15,adult,absent,807.1556741,0.854145876,,,19,801.0922738
15,adult,low_prob,1045.492795,1.106358274,,,20,689.5999054
16,adult,high_prob,1214.180195,1.031599604,,,21,1565.006664
16,adult,absent,1035.136244,0.879479128,,,22,1373.65525
16,adult,low_prob,1281.647096,1.088921267,,,23,1560.268933
18,adult,high_prob,945.6407269,1.026728097,,,24,918.701807
18,adult,absent,848.2712455,0.921009319,,,25,1265.064598
18,adult,low_prob,969.1585898,1.052262584,,,26,829.3817712
19,adult,high_prob,770.843398,0.96224046,,,52,1785.666782
19,adult,absent,810.429434,1.011655536,,,53,2078.02392
19,adult,low_prob,822.0039893,1.026104004,,,54,4567.313917
20,adult,high_prob,700.8251985,1.016277979,,,55,1141.593709
20,adult,absent,637.6294772,0.92463684,,,76,1479.203906
20,adult,low_prob,730.3450406,1.059085181,,,101,990.4185728
21,adult,high_prob,1627.351522,1.039836801,,,102,2001.035225
21,adult,absent,1226.833431,0.783915787,,,103,1634.222155
21,adult,low_prob,1840.835038,1.176247412,,,104,1783.251516
22,adult,high_prob,1360.792177,0.99063588,,,105,1583.158676
22,adult,absent,1247.670151,0.908284776,,,106,999.9785417
22,adult,low_prob,1512.503422,1.101079344,,,107,932.1584116
23,adult,high_prob,1734.486639,1.111658768,,,109,1060.347075
23,adult,absent,1333.253397,0.854502303,,,110,1106.522793
23,adult,low_prob,1613.066763,1.033838929,,,111,799.5764885
24,adult,high_prob,991.3991691,1.079130531,,,112,939.6958375
24,adult,absent,834.3411816,0.908174094,,,113,856.0677365
24,adult,low_prob,930.3650702,1.012695374,,,114,1098.466633
25,adult,high_prob,1355.554078,1.071529533,,,115,1119.572044
25,adult,absent,1147.207071,0.906836752,,,116,807.7626129
25,adult,low_prob,1292.432646,1.021633716,,,117,1824.59798
26,child,high_prob,887.655441,1.070261575,,,,
26,child,absent,744.7182152,0.897919681,,,,
26,child,low_prob,855.7716575,1.031818744,,,,
52,child,high_prob,1569.977462,0.879210768,,,,
52,child,absent,1779.577257,0.996589775,,,,
52,child,low_prob,2007.445627,1.124199457,,,,
53,child,high_prob,2011.099565,0.967794233,,,,
53,child,absent,1827.655805,0.87951625,,,,
53,child,low_prob,2395.316389,1.152689517,,,,
54,child,high_prob,4272.031744,0.935348833,,,,
54,child,absent,4317.80369,0.945370467,,,,
54,child,low_prob,5112.106317,1.1192807,,,,
55,child,high_prob,1142.953701,1.00119131,,,,
55,child,absent,969.0362785,0.848845146,,,,
55,child,low_prob,1312.791147,1.149963544,,,,
76,child,high_prob,1539.771603,1.040946144,,,,
76,child,absent,1376.037644,0.930255551,,,,
76,child,low_prob,1521.802472,1.028798305,,,,
101,adult,high_prob,1134.462794,1.145437722,,,,
101,adult,absent,815.3747784,0.823262811,,,,
101,adult,low_prob,1021.418147,1.031299467,,,,
102,adult,high_prob,2084.014827,1.041468336,,,,
102,adult,absent,1446.271355,0.722761567,,,,
102,adult,low_prob,2472.819494,1.235770097,,,,
103,adult,high_prob,1670.672451,1.02230437,,,,
103,adult,absent,1319.76003,0.807576881,,,,
103,adult,low_prob,1912.233983,1.170118749,,,,
104,adult,high_prob,1939.410686,1.087569908,,,,
104,adult,absent,1609.611883,0.902627515,,,,
104,adult,low_prob,1800.731977,1.009802578,,,,
105,adult,high_prob,1655.085323,1.045432368,,,,
105,adult,absent,1543.173583,0.974743471,,,,
105,adult,low_prob,1551.217122,0.979824161,,,,
106,adult,high_prob,966.5295243,0.966550265,,,,
106,adult,absent,935.3716559,0.935391728,,,,
106,adult,low_prob,1098.034445,1.098058007,,,,
107,adult,high_prob,905.346263,0.971236489,,,,
107,adult,absent,892.9040976,0.957888795,,,,
107,adult,low_prob,998.2248743,1.070874716,,,,
109,adult,high_prob,1106.857622,1.043863513,,,,
109,adult,absent,935.4698115,0.882229823,,,,
109,adult,low_prob,1138.71379,1.073906665,,,,
110,adult,high_prob,1202.059106,1.086339218,,,,
110,adult,absent,967.1296252,0.874025941,,,,
110,adult,low_prob,1150.379648,1.039634841,,,,
111,adult,high_prob,802.9804071,1.004257152,,,,
111,adult,absent,702.072582,0.878055561,,,,
111,adult,low_prob,893.6764763,1.117687287,,,,
112,adult,high_prob,940.9294665,1.001312796,,,,
112,adult,absent,916.4151351,0.975225279,,,,
112,adult,low_prob,961.742911,1.023461925,,,,
113,adult,high_prob,859.1781756,1.003633403,,,,
113,adult,absent,782.4497276,0.914004458,,,,
113,adult,low_prob,926.5753064,1.082362139,,,,
114,adult,high_prob,1209.88816,1.101433693,,,,
114,adult,absent,904.3663157,0.82329885,,,,
114,adult,low_prob,1181.145423,1.075267457,,,,
115,adult,high_prob,1116.816839,0.997539054,,,,
115,adult,absent,956.4236257,0.854276087,,,,
115,adult,low_prob,1285.475669,1.148184858,,,,
116,adult,high_prob,801.1478848,0.991811049,,,,
116,adult,absent,811.561558,1.004703046,,,,
116,adult,low_prob,810.5783959,1.003485904,,,,
117,adult,high_prob,1827.914421,1.001817628,,,,
117,adult,absent,1700.216647,0.931830828,,,,
117,adult,low_prob,1945.662873,1.066351544,,,,
