rank,state,health_care,education,economy,infrastructure,opportunity,fiscal_stability,crime_corrections,natural_environment
1,WA,8,4,4,3,25,6,19,15
2,MN,16,17,15,9,2,21,15,10
3,UT,11,10,1,5,30,5,8,47
4,NH,13,13,11,34,3,33,1,2
5,ID,24,29,3,10,24,4,10,12
6,NE,28,9,20,6,10,17,31,6
7,VA,12,12,13,39,8,18,9,19
8,WI,15,8,26,24,9,9,25,17
9,MA,2,2,5,42,36,43,4,4
10,FL,25,3,8,20,33,8,26,18
11,VT,18,15,25,12,17,37,3,9
12,IA,20,18,27,19,1,23,14,20
13,NC,30,7,17,22,28,7,20,27
14,ND,27,25,32,4,23,16,18,8
15,SD,29,19,30,14,27,2,35,3
16,CO,10,5,2,15,41,45,41,23
17,MD,6,14,35,38,15,29,22,11
18,GA,43,26,12,11,13,11,29,25
19,NJ,4,1,33,41,19,49,5,33
20,CT,3,6,22,46,45,30,6,28
21,NY,7,16,43,30,46,20,11,5
22,OR,17,35,14,2,31,13,40,42
23,DE,14,24,24,25,14,12,39,45
24,CA,5,20,10,31,50,36,28,35
25,HI,1,27,46,33,34,46,12,1
26,KS,41,23,31,7,16,39,27,16
27,ME,26,28,36,37,29,26,2,14
28,MO,42,30,23,27,4,15,45,21
29,TN,40,33,16,17,21,3,42,39
30,IL,23,11,39,26,12,50,16,43
31,TX,31,34,9,16,39,10,37,40
32,IN,32,22,21,32,7,32,24,48
33,MT,36,32,19,13,35,19,34,24
34,RI,9,39,28,49,32,44,7,7
35,WY,38,21,45,8,42,34,21,13
36,OH,37,31,34,29,6,24,32,44
37,NV,39,40,6,1,47,27,36,50
38,MI,35,38,29,35,5,38,30,32
39,AZ,21,46,7,23,40,40,38,41
40,PA,19,37,42,44,11,47,17,38
41,KY,44,36,40,18,20,48,13,29
42,SC,34,44,18,36,38,31,46,26
43,OK,48,42,37,21,26,25,44,34
44,AR,49,41,41,43,22,14,48,30
45,AK,22,49,50,40,43,1,49,46
46,AL,45,47,38,28,37,22,43,37
47,WV,47,45,48,50,18,28,23,36
48,NM,33,50,44,45,49,35,47,31
49,MS,50,43,49,48,44,41,33,22
50,LA,46,48,47,47,48,42,50,49
