"id","age","relative_target","value"
14,"adult","high_prob",836.426854166667
15,"adult","high_prob",827.113747633333
16,"adult","high_prob",1013.4610176
18,"adult","high_prob",829.580701655172
19,"adult","high_prob",791.390632758621
20,"adult","high_prob",668.101450517241
21,"adult","high_prob",1176.74767965385
22,"adult","high_prob",1196.56561982759
23,"adult","high_prob",1189.96194680769
24,"adult","high_prob",858.752077896552
25,"adult","high_prob",1080.67691766667
26,"child","high_prob",1494.321493
52,"child","high_prob",1665.50282633333
53,"child","high_prob",1758.70363617391
54,"child","high_prob",2587.18368642308
55,"child","high_prob",950.891264366667
76,"child","high_prob",1311.49561318519
101,"adult","high_prob",802.273297366667
102,"adult","high_prob",1403.01483152
103,"adult","high_prob",1279.89046067857
104,"adult","high_prob",1487.28392041379
105,"adult","high_prob",1473.29188213793
106,"adult","high_prob",874.370854482759
107,"adult","high_prob",923.07900562069
109,"adult","high_prob",972.878396464286
110,"adult","high_prob",925.35678262069
111,"adult","high_prob",685.601193275862
112,"adult","high_prob",860.5785529
113,"adult","high_prob",810.511531482759
114,"adult","high_prob",849.632312517241
115,"adult","high_prob",991.272942758621
116,"adult","high_prob",822.9922295
117,"adult","high_prob",1319.83033823333
14,"adult","low_prob",760.678314815205
15,"adult","low_prob",785.257558365965
16,"adult","low_prob",1021.93865726111
18,"adult","low_prob",835.82195961561
19,"adult","low_prob",759.282532186508
20,"adult","low_prob",613.434057054582
21,"adult","low_prob",1098.95681533279
22,"adult","low_prob",1154.5274536469
23,"adult","low_prob",1222.81193584576
24,"adult","low_prob",803.375824302422
25,"adult","low_prob",1105.13479571907
26,"child","low_prob",1362.49309889638
52,"child","low_prob",1796.54570918254
53,"child","low_prob",1726.40192607488
54,"child","low_prob",2725.44433787049
55,"child","low_prob",980.424644559551
76,"child","low_prob",1355.16398407126
101,"adult","low_prob",814.463807081726
102,"adult","low_prob",1221.83198667614
103,"adult","low_prob",1198.25774201757
104,"adult","low_prob",1418.98454061738
105,"adult","low_prob",1525.92570870319
106,"adult","low_prob",921.319545005747
107,"adult","low_prob",837.135806197309
109,"adult","low_prob",894.769666563316
110,"adult","low_prob",952.516821273635
111,"adult","low_prob",703.4301268
112,"adult","low_prob",896.522276071899
113,"adult","low_prob",757.095521890805
114,"adult","low_prob",883.49079887181
115,"adult","low_prob",906.684397035087
116,"adult","low_prob",784.099095748315
117,"adult","low_prob",1347.56919892673
