id,age,relative_target,value,norm
14,adult,high_prob,836.4268542,1.047428648
14,adult,low_prob,760.6783148,0.952571352
15,adult,high_prob,827.1137476,1.025959399
15,adult,low_prob,785.2575584,0.974040601
16,adult,high_prob,1013.461018,0.995834902
16,adult,low_prob,1021.938657,1.004165098
18,adult,high_prob,829.5807017,0.996252403
18,adult,low_prob,835.8219596,1.003747597
19,adult,high_prob,791.3906328,1.020705911
19,adult,low_prob,759.2825322,0.979294089
20,adult,high_prob,668.1014505,1.042657728
20,adult,low_prob,613.4340571,0.957342272
21,adult,high_prob,1176.74768,1.034183201
21,adult,low_prob,1098.956815,0.965816799
22,adult,high_prob,1196.56562,1.017880265
22,adult,low_prob,1154.527454,0.982119735
23,adult,high_prob,1189.961947,0.98638497
23,adult,low_prob,1222.811936,1.01361503
24,adult,high_prob,858.7520779,1.033316482
24,adult,low_prob,803.3758243,0.966683518
25,adult,high_prob,1080.676918,0.98881062
25,adult,low_prob,1105.134796,1.01118938
26,child,high_prob,1494.321493,1.04614524
26,child,low_prob,1362.493099,0.95385476
52,child,high_prob,1665.502826,0.962148745
52,child,low_prob,1796.545709,1.037851255
53,child,high_prob,1758.703636,1.009268503
53,child,low_prob,1726.401926,0.990731497
54,child,high_prob,2587.183686,0.973975093
54,child,low_prob,2725.444338,1.026024907
55,child,high_prob,950.8912644,0.984708157
55,child,low_prob,980.4246446,1.015291843
76,child,high_prob,1311.495613,0.983624318
76,child,low_prob,1355.163984,1.016375682
101,adult,high_prob,802.2732974,0.992459807
101,adult,low_prob,814.4638071,1.007540193
102,adult,high_prob,1403.014832,1.069026064
102,adult,low_prob,1221.831987,0.930973936
103,adult,high_prob,1279.890461,1.032941016
103,adult,low_prob,1198.257742,0.967058984
104,adult,high_prob,1487.28392,1.023500713
104,adult,low_prob,1418.984541,0.976499287
105,adult,high_prob,1473.291882,0.982450814
105,adult,low_prob,1525.925709,1.017549186
106,adult,high_prob,874.3708545,0.973854797
106,adult,low_prob,921.319545,1.026145203
107,adult,high_prob,923.0790056,1.048825404
107,adult,low_prob,837.1358062,0.951174596
109,adult,high_prob,972.8783965,1.041821975
109,adult,low_prob,894.7696666,0.958178025
110,adult,high_prob,925.3567826,0.985536812
110,adult,low_prob,952.5168213,1.014463188
111,adult,high_prob,685.6011933,0.987164484
111,adult,low_prob,703.4301268,1.012835516
112,adult,high_prob,860.5785529,0.979543733
112,adult,low_prob,896.5222761,1.020456267
113,adult,high_prob,810.5115315,1.034074872
113,adult,low_prob,757.0955219,0.965925128
114,adult,high_prob,849.6323125,0.980463888
114,adult,low_prob,883.4907989,1.019536112
115,adult,high_prob,991.2729428,1.044568202
115,adult,low_prob,906.684397,0.955431798
116,adult,high_prob,822.9922295,1.024200948
116,adult,low_prob,784.0990957,0.975799052
117,adult,high_prob,1319.830338,0.989600785
117,adult,low_prob,1347.569199,1.010399215
